Company Name,Industry,Symbol,Series,ISIN Code,Sector
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,Financial Services
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,Chemicals
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,Automobile and Auto Components
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,Construction Materials
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,Financial Services
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017,Capital Goods
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,Capital Goods
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,Chemicals
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,Automobile and Auto Components
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,Financial Services
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,Metals & Mining
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,Healthcare
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,Capital Goods
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,Capital Goods
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,Consumer Services
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,Automobile and Auto Components
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,Telecommunication
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,Information Technology
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,Fast Moving Consumer Goods
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,Information Technology
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,Automobile and Auto Components
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,Power
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,Metals & Mining
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,Information Technology
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,Information Technology
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,Consumer Durables
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,Healthcare
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,Power
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,Consumer Services
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,Automobile and Auto Components
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,Chemicals
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,Construction Materials
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,Financial Services
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,Fast Moving Consumer Goods
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,Fast Moving Consumer Goods
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,Metals & Mining
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019,Consumer Services
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,Telecommunication
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,Consumer Durables
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017,Capital Goods
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,Information Technology
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,Financial Services
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,Healthcare
